class,replicate,fecundity
SC,1,8
SC,2,22
SC,3,26
SC,4,15
SC,5,17
SC,6,28
SC,7,21
SC,8,31
SC,9,16
SC,10,46
SC,11,30
SC,12,26
SD,1,36
SD,2,19
SD,3,31
SD,4,17
SD,5,24
SD,6,38
SD,7,45
SD,8,60
SD,9,20
SD,10,16
SD,11,40
SD,12,32
SCF2,1,43
SCF2,2,3
SCF2,3,3
SCF2,4,4
SCF2,5,12
SCF2,6,1
SCF2,7,7
SCF2,8,16
SCF2,9,18
SCF2,10,6
SCF2,11,9
SDF2,1,10
SDF2,2,3
SDF2,3,2
SDF2,4,44
SDF2,5,13
SDF2,6,6
